id,level,title,year,month,url,journal
14,1,Convalescent plasma transfusion for the treatment of COVID-19: Systematic review,2020,5,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25961,Journal of Medical Virology
15,6,Transmission dynamics of the COVID-19 outbreak and effectiveness of government interventions: A data-driven analysis,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25750,Journal of Medical Virology
16,1,Vaginal delivery report of a healthy neonate born to a convalescent mother with COVID¬≠-19,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25857,Journal of Medical Virology
17,1,Novel coronavirus treatment with ribavirin: Groundwork for an evaluation concerning COVID-19,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25798,Journal of Medical Virology
18,1,The neuroinvasive potential of SARS-CoV2 may play a role in the respiratory failure of COVID-19 patients,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25728,Journal of Medical Virology
19,5,Long-term Coexistence of SARS-CoV-2 with Antibody Response in COVID-19 Patients,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25946,Journal of Medical Virology
20,6,Does recombinant human erythropoietin administration in critically ill COVID-19 patients have miraculous therapeutic effects?,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25839,Journal of Medical Virology
21,4,CD-sACE2 inclusion compounds: An effective treatment for coronavirus disease 2019 (COVID-19),2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25804,Journal of Medical Virology
22,6,Detectable SARS-CoV-2 viral RNA in feces of three children during recovery period of COVID-19 pneumonia,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25795,Journal of Medical Virology
23,1,The effectiveness of quarantine of Wuhan city against the Corona Virus Disease 2019 (COVID-19): A well-mixed SEIR model analysis,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25827,Journal of Medical Virology
24,4,"Clinical characteristics of 54 medical staff with COVID-19: A retrospective study in a single center in Wuhan, China",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25793,Journal of Medical Virology
25,4,Analyzing situational awareness through public opinion to predict adoption of social distancing amid pandemic COVID-19,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25840,Journal of Medical Virology
26,4,The impact of COPD and smoking history on the severity of Covid-19: A systemic review and meta-analysis,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25889,Journal of Medical Virology
27,1,"Description of COVID-19 cases along with the measures taken on prevention and control in Zhejiang, China",2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25906,Journal of Medical Virology
28,4,The emergence of a novel coronavirus (SARS-CoV-2) disease and their neuroinvasive propensity may affect in COVID-19 patients,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25918,Journal of Medical Virology
29,4,Organ-protective effect of angiotensin-converting enzyme 2 and its effect on the prognosis of COVID-19,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25785,Journal of Medical Virology
30,4,"Positive result of Sars-Cov-2 in faeces and sputum from discharged patient with COVID-19 in Yiwu, China",2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25905,Journal of Medical Virology
31,1,"The application of Temporary Ark Hospitals in controlling COVID-19 spread: the experiences of one Temporary Ark Hospital, Wuhan, China",2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25947,Journal of Medical Virology
32,1,Stability issues of RT-PCR testing of SARS-CoV-2 for hospitalized patients clinically diagnosed with COVID-19,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25786,Journal of Medical Virology
33,1,Is novel coronavirus disease (COVID-19) transmitted through conjunctiva?,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25753,Journal of Medical Virology
34,1,Positive externalities of an epidemic: The case of the coronavirus (COVID-19) in China,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25830,Journal of Medical Virology
35,4,"Under the epidemic situation of COVID-19, should special attention to pregnant women be given?",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25771,Journal of Medical Virology
36,1,Combination of RT-qPCR testing and clinical features for diagnosis of COVID-19 facilitates management of SARS-CoV-2 outbreak,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25721,Journal of Medical Virology
37,1,Global approaches for global challenges: The possible support of rehabilitation in the management of COVID-19,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25829,Journal of Medical Virology
38,1,Virological and clinical cure in COVID-19 patients treated with hydroxychloroquine: A systematic review and meta-analysis,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25898,Journal of Medical Virology
39,5,Neutrophil-to-lymphocyte ratio and lymphocyte-to-C-reactive protein ratio in patients with severe coronavirus disease 2019 (COVID-19): A meta-analysis,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25819,Journal of Medical Virology
40,5,An alteration of the dopamine synthetic pathway is possibly involved in the pathophysiology of COVID-19,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25826,Journal of Medical Virology
41,4,Sore throat in COVID-19: Comment on ‚ÄúClinical characteristics of hospitalized patients with SARS-CoV-2 infection: A single arm meta-analysis‚Äù,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25815,Journal of Medical Virology
42,1,Response to: Sore throat in COVID-19: comment on ‚ÄúClinical characteristics of hospitalized patients with SARS-CoV-2 infection: A single arm meta-analysis‚Äù,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25818,Journal of Medical Virology
43,1,Fecal specimen diagnosis 2019 novel coronavirus‚Äìinfected pneumonia,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25742,Journal of Medical Virology
44,1,A systematic review of lopinavir therapy for SARS coronavirus and MERS coronavirus‚A possible reference for coronavirus disease-19 treatment option,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25729,Journal of Medical Virology
45,1,Coronavirus disease 2019: What we know?,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25766,Journal of Medical Virology
46,1,Potential interventions for novel coronavirus in China: A systematic review,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25707,Journal of Medical Virology
47,1,"The clinical characteristics of pneumonia patients coinfected with 2019 novel coronavirus and influenza virus in Wuhan, China",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25781,Journal of Medical Virology
48,5,"Initial clinical features of suspected coronavirus disease 2019 in two emergency departments outside of Hubei, China",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25763,Journal of Medical Virology
49,1,A report of clinical diagnosis and treatment of nine cases of coronavirus disease 2019,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25755,Journal of Medical Virology
50,1,Clinical analysis of pregnant women with 2019 novel coronavirus pneumonia,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25789,Journal of Medical Virology
51,1,An analysis of spatiotemporal pattern for COIVD-19 in China based on space-time cube,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25834,Journal of Medical Virology
52,1,Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS-CoV-2,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25726,Journal of Medical Virology
53,5,Maternal health care management during the outbreak of coronavirus disease 2019,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25787,Journal of Medical Virology
54,6,Diagnostic accuracy of an automated chemiluminescent immunoassay for anti-SARS-CoV-2 IgM and IgG antibodies: an Italian experience,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25932,Journal of Medical Virology
55,7,Imaging and clinical features of patients with 2019 novel coronavirus SARS-CoV-2: A systematic review and meta-analysis,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25822,Journal of Medical Virology
56,5,Platelet-to-lymphocyte ratio is associated with prognosis in patients with coronavirus disease-19,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25767,Journal of Medical Virology
57,5,"Evolutionary history, potential intermediate animal host, and cross-species analyses of SARS-CoV-2",2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25731,Journal of Medical Virology
58,5,Genomic characterization and phylogenetic analysis of SARS-COV-2 in Italy,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25794,Journal of Medical Virology
59,5,Three Taiwan's domestic family cluster infections of coronavirus disease 2019,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25949,Journal of Medical Virology
60,5,The potential chemical structure of anti-SARS-CoV-2 RNA-dependent RNA polymerase,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25761,Journal of Medical Virology
61,6,Development and clinical application of a rapid IgM-IgG combined antibody test for SARS-CoV-2 infection diagnosis,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25727,Journal of Medical Virology
62,5,The establishment of reference sequence for SARS-CoV-2 and variation analysis,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25762,Journal of Medical Virology
63,5,Potential utilities of mask-wearing and instant hand hygiene for fighting SARS-CoV-2,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25805,Journal of Medical Virology
64,5,Structural variations in human ACE2 may influence its binding with SARS-CoV-2 spike protein,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25832,Journal of Medical Virology
65,4,A survey of 434 clinical trials about coronavirus disease 2019 in China,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25779,Journal of Medical Virology
66,5,SARS-CoV-2 spike protein favors ACE2 from Bovidae and Cricetidae,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25817,Journal of Medical Virology
67,5,Evaluation of coronavirus in tears and conjunctival secretions of patients with SARS-CoV-2 infection,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25725,Journal of Medical Virology
68,1,Understanding evolution of SARS-CoV-2: a perspective from analysis of genetic diversity of RdRp gene,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25909,Journal of Medical Virology
69,1,Antibodies to coronaviruses are higher in older compared with younger adults and binding antibodies are more sensitive than neutralizing antibodies in identifying coronavirus-associated illnesses,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25715,Journal of Medical Virology
70,6,Latest updates on COVID-2019: A changing paradigm shift,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25760,Journal of Medical Virology
71,5,Optimization of group size in pool testing strategy for SARS-CoV-2: A simple mathematical model,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25929,Journal of Medical Virology
72,5,Development of epitope-based peptide vaccine against novel coronavirus 2019 (SARS-COV-2): Immunoinformatics approach,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25736,Journal of Medical Virology
73,5,Clinical characteristics of hospitalized patients with SARS-CoV-2 infection: A single arm meta-analysis,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25735,Journal of Medical Virology
74,5,Genomic variance of the 2019-nCoV coronavirus,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25700,Journal of Medical Virology
75,1,Controversial treatments: An updated understanding of the coronavirus disease 2019,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25788,Journal of Medical Virology
76,6,COVID-2019: The role of the nsp2 and nsp3 in its pathogenesis,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25719,Journal of Medical Virology
77,4,Early phylogenetic estimate of the effective reproduction number of SARS-CoV-2,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25723,Journal of Medical Virology
78,5,The course of clinical diagnosis and treatment of a case infected with coronavirus disease 2019,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25711,Journal of Medical Virology
79,6,Immunoinformatics-aided identification of T cell and B cell epitopes in the surface glycoprotein of 2019-nCoV,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25698,Journal of Medical Virology
80,6,An exclusive 42 amino acid signature in pp1ab protein provides insights into the evolutive history of the 2019 novel human-pathogenic coronavirus (SARS-CoV-2),2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25758,Journal of Medical Virology
81,5,The progress of 2019 novel coronavirus event in China,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25705,Journal of Medical Virology
82,1,Evolving status of the 2019 novel coronavirus infection: Proposal of conventional serologic assays for disease diagnosis and infection monitoring,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25702,Journal of Medical Virology
83,4,Does SARS-CoV-2 has a longer incubation period than SARS and MERS?,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25708,Journal of Medical Virology
84,5,"Overlapping and discrete aspects of the pathology and pathogenesis of the emerging human pathogenic coronaviruses SARS-CoV, MERS-CoV, and 2019-nCoV",2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25709,Journal of Medical Virology
85,5,The first two cases of 2019-nCoV in Italy: Where they come from?,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25699,Journal of Medical Virology
86,6,From SARS and MERS CoVs to SARS-CoV-2: Moving toward more biased codon usage in viral structural and nonstructural genes,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25754,Journal of Medical Virology
87,6,Clinical trial analysis of 2019-nCoV therapy registered in China,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25733,Journal of Medical Virology
88,1,Economic impacts of Wuhan 2019-nCoV on China and the world,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25706,Journal of Medical Virology
89,5,Transmission dynamics and evolutionary history of 2019-nCoV,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25701,Journal of Medical Virology
90,1,Phylogenetic analysis of the first four SARS-CoV-2 cases in Chile,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25797,Journal of Medical Virology
91,1,The Wuhan SARS-CoV-2‚What's next for China,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25738,Journal of Medical Virology
92,5,Coronavirus uses as binding site in humans angiotensin-converting enzyme 2 functional receptor that is involved in arterial blood pressure control and fibrotic response to damage and is a drug target in cardiovascular disease. Is this just a phylogenetic coincidence?,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25774,Journal of Medical Virology
93,1,"Caution should be exercised for the detection of SARS-CoV-2, especially in the elderly",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25796,Journal of Medical Virology
94,5,"Co-infection of SARS-CoV-2 and HIV in a patient in Wuhan city, China",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25732,Journal of Medical Virology
95,6,"Comments on ‚Äúcoinfection of SARS-CoV-2 and HIV in a patient in Wuhan city, China‚Äù",2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25821,Journal of Medical Virology
96,5,SARS-CoV-2 and HIV,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25782,Journal of Medical Virology
97,1,Comments on Zhang et al: Clinical trial analysis of 2019-nCoV therapy registered in China,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25806,Journal of Medical Virology
98,1,Respiratory failure alone does not suggest central nervous system invasion by SARS-CoV-2,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25828,Journal of Medical Virology
99,1,The 2019-new coronavirus epidemic: Evidence for virus evolution,2020,1,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25688,Journal of Medical Virology
100,1,"SARS-CoV-2 can be detected in urine, blood, anal swabs, and oropharyngeal swabs specimens",2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25936,Journal of Medical Virology
101,6,Proficiency testing for the detection of Middle East respiratory syndrome coronavirus demonstrates global capacity to detect Middle East respiratory syndrome coronavirus,2018,7,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25266,Journal of Medical Virology
102,6,"Updated understanding of the outbreak of 2019 novel coronavirus (2019-nCoV) in Wuhan, China",2020,1,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25689,Journal of Medical Virology
103,1,Coronavirus infections and immune responses,2020,1,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25685,Journal of Medical Virology
104,5,Cross-species transmission of the newly identified coronavirus 2019-nCoV,2020,1,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25682,Journal of Medical Virology
105,6,Severe acute respiratory syndrome coronavirus spike protein counteracts BST2-mediated restriction of virus-like particle release,2019,6,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25518,Journal of Medical Virology
106,7,Interpatient mutational spectrum of human coronavirus-OC43 revealed by illumina sequencing,2017,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.24780,Journal of Medical Virology
107,5,"A guideline for homology modeling of the proteins from newly discovered betacoronavirus, 2019 novel coronavirus (2019-nCoV)",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25768,Journal of Medical Virology
108,4,"Sero-prevalence of Middle East respiratory syndrome coronavirus (MERS-CoV) specific antibodies in dromedary camels in Tabuk, Saudi Arabia",2018,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25186,Journal of Medical Virology
109,5,Updates on Wuhan 2019 novel coronavirus epidemic,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25695,Journal of Medical Virology
110,5,"Possible involvement of infection with human coronavirus 229E, but not NL63, in Kawasaki disease",2014,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.23950,Journal of Medical Virology
111,6,A comparative-descriptive analysis of clinical characteristics in 2019-coronavirus-infected children and adults,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25835,Journal of Medical Virology
112,5,Prevalence and molecular epidemiology of human coronavirus HKU1 in patients with acute respiratory illness,2012,11,https://onlinelibrary.wiley.com/doi/10.1002/jmv.23465,Journal of Medical Virology
113,4,Evaluate severe acute respiratory syndrome coronavirus 2 infectivity by pseudoviral particles,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25865,Journal of Medical Virology
114,1,"Emerging coronaviruses: Genome structure, replication, and pathogenesis",2020,1,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25681,Journal of Medical Virology
115,1,A doubt of multiple introduction of SARS-CoV-2 in Italy: A preliminary overview,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25773,Journal of Medical Virology
116,5,Recent advances in the detection of respiratory virus infection in humans,2020,1,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25674,Journal of Medical Virology
117,1,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",2020,3,https://www.nejm.org/doi/full/10.1056/NEJMoa2005412,The New England Journal of Medicine
118,4,Renin‚ÄìAngiotensin‚ÄìAldosterone System Inhibitors and Risk of Covid-19,2020,5,https://www.nejm.org/doi/full/10.1056/NEJMoa2008975,The New England Journal of Medicine
119,5,Renin‚ÄìAngiotensin‚ÄìAldosterone System Blockers and the Risk of Covid-19,2020,5,https://www.nejm.org/doi/full/10.1056/NEJMoa2006923,The New England Journal of Medicine
120,4,Clinical Characteristics of Coronavirus Disease 2019 in China,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMoa2002032,The New England Journal of Medicine
121,4,Covid-19 in Critically Ill Patients in the Seattle Region ‚ Case Series,2020,3,https://www.nejm.org/doi/full/10.1056/NEJMoa2004500,The New England Journal of Medicine
122,7,Presymptomatic SARS-CoV-2 Infections and Transmission in a Skilled Nursing Facility,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMoa2008457,The New England Journal of Medicine
123,4,Compassionate Use of Remdesivir for Patients with Severe Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMoa2007016,The New England Journal of Medicine
124,5,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",2020,5,https://www.nejm.org/doi/full/10.1056/NEJMoa2007621,The New England Journal of Medicine
125,4,Renin‚ÄìAngiotensin‚ÄìAldosterone System Inhibitors in Patients with Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMsr2005760,The New England Journal of Medicine
126,7,A Trial of Lopinavir‚ÄìRitonavir in Adults Hospitalized with Severe Covid-19,2020,3,https://www.nejm.org/doi/full/10.1056/NEJMoa2001282,The New England Journal of Medicine
127,4,Mild or Moderate Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMcp2009249,The New England Journal of Medicine
128,5,Spread of SARS-CoV-2 in the Icelandic Population,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMoa2006100,The New England Journal of Medicine
129,5,Inhibitors of the Renin‚ÄìAngiotensin‚ÄìAldosterone System and Covid-19,2020,5,https://www.nejm.org/doi/full/10.1056/NEJMe2012924,The New England Journal of Medicine
130,1,Universal Masking in Hospitals in the Covid-19 Era,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006372,The New England Journal of Medicine
131,1,We Signed Up for This!‚ Student and Trainee Responses to the Covid-19 Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2005234,The New England Journal of Medicine
132,4,Undocumented U.S. Immigrants and Covid-19,2020,3,https://www.nejm.org/doi/full/10.1056/NEJMp2005953,The New England Journal of Medicine
133,1,Waiting for Something Positive,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2008797,The New England Journal of Medicine
134,1,Covid-19 ‚ Navigating the Uncharted,2020,3,https://www.nejm.org/doi/full/10.1056/NEJMe2002387,The New England Journal of Medicine
135,1,Virtually Perfect? Telemedicine for Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2003539,The New England Journal of Medicine
136,1,The Invisible Hand ‚ Medical Care during the Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006607,The New England Journal of Medicine
137,5,Covid-19 and the Need for Health Care Reform,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2000821,The New England Journal of Medicine
138,5,Responding to Covid-19 ‚ A Once-in-a-Century Pandemic?,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2003762,The New England Journal of Medicine
139,5,Critical Supply Shortages ‚ The Need for Ventilators and Personal Protective Equipment during the Covid-19 Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006141,The New England Journal of Medicine
140,1,"Asymptomatic Transmission, the Achilles‚Äô Heel of Current Strategies to Control Covid-19",2020,4,https://www.nejm.org/doi/full/10.1056/NEJMe2009758,The New England Journal of Medicine
141,6,Covid-19 and Immunity in Aging Populations ‚ A New Research Agenda,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006761,The New England Journal of Medicine
142,4,Abortion during the Covid-19 Pandemic ‚ Ensuring Access to an Essential Health Service,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2008006,The New England Journal of Medicine
143,4,Harnessing Our Humanity ‚ How Washington‚Äôs Health Care Workers Have Risen to the Pandemic Challenge,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2007466,The New England Journal of Medicine
144,4,Fair Allocation of Scarce Medical Resources in the Time of Covid-19,2020,3,https://www.nejm.org/doi/full/10.1056/NEJMsb2005114,The New England Journal of Medicine
145,6,"Thinking Globally, Acting Locally ‚ The U.S. Response to Covid-19",2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006740,The New England Journal of Medicine
146,4,Not Dying Alone ‚ Modern Compassionate Care in the Covid-19 Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2007781,The New England Journal of Medicine
147,1,Covid-19 and Health Care‚Äôs Digital Revolution,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2005835,The New England Journal of Medicine
148,1,Feeding Low-Income Children during the Covid-19 Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2005638,The New England Journal of Medicine
149,6,Drug Evaluation during the Covid-19 Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2009457,The New England Journal of Medicine
150,4,Africa in the Path of Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2008193,The New England Journal of Medicine
151,4,Mental Health and the Covid-19 Pandemic,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2008017,The New England Journal of Medicine
152,4,History in a Crisis ‚ Lessons for Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2004361,The New England Journal of Medicine
153,1,Covid-19 ‚ The Law and Limits of Quarantine,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2004211,The New England Journal of Medicine
154,4,"Disease Control, Civil Liberties, and Mass Testing ‚ Calibrating Restrictions during the Covid-19 Pandemic",2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2007637,The New England Journal of Medicine
155,1,Ensuring and Sustaining a Pandemic Workforce,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006376,The New England Journal of Medicine
156,4,"Age, Complexity, and Crisis ‚ A Prescription for Progress in Pandemic",2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006115,The New England Journal of Medicine
157,4,Novel Coronavirus and Old Lessons ‚ Preparing the Health System for the Pandemic,2020,3,https://www.nejm.org/doi/full/10.1056/NEJMp2005118,The New England Journal of Medicine
158,4,Not a Perfect Storm ‚ Covid-19 and the Importance of Language,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2005032,The New England Journal of Medicine
159,1,Between Scylla and Charybdis ‚ Oncologic Decision Making in the Time of Covid-19,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2006588,The New England Journal of Medicine
160,4,Flattening the Curve for Incarcerated Populations ‚ Covid-19 in Jails and Prisons,2020,4,https://www.nejm.org/doi/full/10.1056/NEJMp2005687,The New England Journal of Medicine
