Document,Level
"SUMMARY The Middle East respiratory syndrome coronavirus (MERS-CoV) is associated with life-threatening severe illnesses and a mortality rate of approximately 35%, particularly in patients with underlying comorbidities. A systematic analysis of 637 MERS-CoV cases suggests that diabetes and hypertension are equally prevalent in approximately 50% of the patients. Cardiac diseases are present in 30% and obesity in 16% of the cases. These conditions down-regulate the synthesis of proinflammatory cytokines and impair the host’s innate and humoral immune systems. In conclusion, protection against MERS-CoV and other respiratory infections can be improved if public health vaccination strategies are tailored to target persons with chronic disorders.",Systematic Review
"Chloroquine and hydroxychloroquine are now being widely used for treatment of COVID-19. Both medications prolong the QT interval and accordingly may put patients at increased risk for torsades de pointes and sudden death. Published guidance documents vary in their recommendations for monitoring and managing these poten- tial adverse effects. Accordingly, we set out to conduct a systematic review of the arrhythmogenic effect of short courses of chloroquine or hydroxychloroquine. We searched on MEDLINE and Embase, as well as in the gray literature up to April 17, 2020, for the risk of QT prolongation, torsades, ventricular arrhythmia, and sudden death with short-term chloroquine and hydroxychloroquine usage. This search resulted in 390 unique records, of which 41 were ulti- mately selected for qualitative synthesis and which included data on 1515 COVID-19 patients. Approximately 10% of COVID-19 pa- tients treated with these drugs developed QT prolongation. We found evidence of ventricular arrhythmia in 2 COVID-19 patients from a group of 28 treated with high-dose chloroquine. Limitations of these results are unclear follow-up and possible publication/re- porting bias, but there is compelling evidence that chloroquine and hydroxychloroquine induce significant QT-interval prolongation and potentially increase the risk of arrhythmia. Daily electrocardio- graphic monitoring and other risk mitigation strategies should be considered in order to prevent possible harms from what is currently an unproven therapy.",Systematic Review
"ABSTRACT Background: The relationship between ethnicity and COVID-19 is uncertain. We performed a systematic review to assess whether ethnicity has been reported in patients with COVID-19 and its relation to clinical outcomes. Methods: We searched EMBASE, MEDLINE, Cochrane Library and PROSPERO for English-language citations on ethnicity and COVID-19 (1st December 2019-15th May 2020). We also reviewed: COVID-19 articles in NEJM, Lancet, BMJ, JAMA, clinical trial protocols, grey literature, surveillance data and preprint articles on COVID-19 in MedRxiv to evaluate if the association between ethnicity and clinical outcomes were reported and what they showed. PROSPERO:180654. Findings: Of 207 articles in the database search, five reported ethnicity; two reported no association between ethnicity and mortality. Of 690 articles identified from medical journals, 12 reported ethnicity; three reported no association between ethnicity and mortality. Of 209 preprints, 34 reported ethnicity  13 found Black, Asian and Minority Ethnic (BAME) individuals had an increased risk of infection with SARS-CoV-2 and 12 reported worse clinical outcomes, including ITU admission and mortality, in BAME patients compared to White patients. Of 12 grey literature reports, seven with original data reported poorer clinical outcomes in BAME groups compared to White groups. Interpretation: Data on ethnicity in patients with COVID-19 in the published medical literature remains lim- ited. However, emerging data from the grey literature and preprint articles suggest BAME individuals are at an increased risk of acquiring SARS-CoV-2 infection compared to White individuals and also worse clinical outcomes from COVID-19. Further work on the role of ethnicity in the current pandemic is of urgent public health importance.",Systematic Review
"Summary The pandemic of 2019 novel coronavirus (SARS‐CoV‐2019), reminiscent of the 2002‐SARS‐CoV outbreak, has completely isolated countries, disrupted health systems and partially paralyzed international trade and travel. In order to be better equipped to anticipate transmission of this virus to new regions, it is imperative to track the progress of the virus over time. This review analyses information on progression of the pandemic in the past 3 months and systematically discusses the characteristics of SARS‐CoV‐2019 virus including its epidemiologic, pathophysiologic, and clinical manifestations. Furthermore, the review also encompasses some recently proposed conceptual models that estimate the spread of this disease based on the basic reproductive number for better prevention and control procedures. Finally, we shed light on how the virus has endangered the global economy, impacting it both from the supply and demand side.",Systematic Review
"Abstract Background Coronavirus disease 2019 (COVID-19) is a novel infectious disease with lack of established laboratory markers available to evaluate illness severity. In this study, we investigate whether platelet count could differentiate between COVID-19 patients with or without severe disease. Additionally, we evaluate if thrombocytopenia is associated with severe COVID-19.  Methods An electronic search in Medline, Scopus and Web of Science was performed to identify studies reporting data on platelet count in COVID-19 patients. A meta-analysis was performed, with calculation of weighted mean difference (WMD) of platelet number in COVID-19 patients with or without severe disease and odds ratio (OR) of thrombocytopenia for severe form of COVID-19.  Results Nine studies with 1779 COVID-19 patients, 399 (22.4%) with severe disease, were included in the meta-analysis. The pooled analysis revealed that platelet count was significantly lower in patients with more severe COVID-19 (WMD −31 × 109/L; 95% CI, from −35 to −29 × 109/L). A subgroup analysis comparing patients by survival, found an even lower platelet count was observed with mortality (WMD, −48 × 109/L; 95% CI, −57 to −39 × 109/L. In the four studies (n = 1427) which reported data on rate of thrombocytopenia, a low platelet count was associated with over fivefold enhanced risk of severe COVID-19 (OR, 5.1; 95% CI, 1.8–14.6).  Conclusions Low platelet count is associated with increased risk of severe disease and mortality in patients with COVID-19, and thus should serve as clinical indicator of worsening illness during hospitalization.",Systematic Review
"Abstract Purpose COVID-19 (coronavirus disease 2019) is a public health emergency of international concern. As of this time, there is no known effective pharmaceutical treatment, although it is much needed for patient contracting the severe form of the disease. The aim of this systematic review was to summarize the evidence regarding chloroquine for the treatment of COVID-19.  Methods PubMed, EMBASE, and three trial Registries were searched for studies on the use of chloroquine in patients with COVID-19.  Results We included six articles (one narrative letter, one in-vitro study, one editorial, expert consensus paper, two national guideline documents) and 23 ongoing clinical trials in China. Chloroquine seems to be effective in limiting the replication of SARS-CoV-2 (virus causing COVID-19) in vitro.  Conclusions There is rationale, pre-clinical evidence of effectiveness and evidence of safety from long-time clinical use for other indications to justify clinical research on chloroquine in patients with COVID-19. However, clinical use should either adhere to the Monitored Emergency Use of Unregistered Interventions (MEURI) framework or be ethically approved as a trial as stated by the World Health Organization. Safety data and data from high-quality clinical trials are urgently needed.",Systematic Review
"Abstract Introduction An epidemic of Coronavirus Disease 2019 (COVID-19) began in December 2019 in China leading to a Public Health Emergency of International Concern (PHEIC). Clinical, laboratory, and imaging features have been partially characterized in some observational studies. No systematic reviews on COVID-19 have been published to date.  Methods We performed a systematic literature review with meta-analysis, using three databases to assess clinical, laboratory, imaging features, and outcomes of COVID-19 confirmed cases. Observational studies and also case reports, were included, and analyzed separately. We performed a random-effects model meta-analysis to calculate pooled prevalences and 95% confidence intervals (95%CI).  Results 660 articles were retrieved for the time frame (1/1/2020-2/23/2020). After screening, 27 articles were selected for full-text assessment, 19 being finally included for qualitative and quantitative analyses. Additionally, 39 case report articles were included and analyzed separately. For 656 patients, fever (88.7%, 95%CI 84.5–92.9%), cough (57.6%, 95%CI 40.8–74.4%) and dyspnea (45.6%, 95%CI 10.9–80.4%) were the most prevalent manifestations. Among the patients, 20.3% (95%CI 10.0–30.6%) required intensive care unit (ICU), 32.8% presented with acute respiratory distress syndrome (ARDS) (95%CI 13.7–51.8), 6.2% (95%CI 3.1–9.3) with shock. Some 13.9% (95%CI 6.2–21.5%) of hospitalized patients had fatal outcomes (case fatality rate, CFR).  Conclusion COVID-19 brings a huge burden to healthcare facilities, especially in patients with comorbidities. ICU was required for approximately 20% of polymorbid, COVID-19 infected patients and hospitalization was associated with a CFR of >13%. As this virus spreads globally, countries need to urgently prepare human resources, infrastructure and facilities to treat severe COVID-19.",Systematic Review
"Summary Background Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is the causative agent of coronavirus disease 2019 (COVID-19), which was declared a global pandemic by the World Health Organization on 11th March 2020. The treatment guidelines for COVID-19 vary between countries, yet there is no approved treatment to date.  Aim To report any evidence of therapeutics used for the management of patients with COVID-19 in clinical practice since emergence of the virus.  Methods A systematic review protocol was developed based on the PRISMA statement. Articles for review were selected from Embase, Medline and Google Scholar. Readily accessible peer-reviewed, full articles in English published from 1st December 2019 to 26th March 2020 were included. The search terms included combinations of: COVID, SARS-COV-2, glucocorticoids, convalescent plasma, antiviral and antibacterial. There were no restrictions on the types of study eligible for inclusion.  Results Four hundred and forty-nine articles were identified in the literature search; of these, 41 studies were included in this review. These were clinical trials (N=3), case reports (N=7), case series (N=10), and retrospective (N=11) and prospective (N=10) observational studies. Thirty-six studies were conducted in China (88%). Corticosteroid treatment was reported most frequently (N=25), followed by lopinavir (N=21) and oseltamivir (N=16).  Conclusions This is the first systematic review to date related to medication used to treat patients with COVID-19. Only 41 studies were eligible for inclusion, most of which were conducted in China. Corticosteroid treatment was reported most frequently in the literature.",Systematic Review
"COVID-19 is a coronavirus outbreak that initially appeared in Wuhan, Hubei Province, China, in December 2019, but it has already evolved into a pandemic spreading rapidly worldwide1,2. As of 18 March 2020, a total number of 194909 cases of COVID-19 have been reported, including 7876 deaths, the majority of which have been reported in China (3242) and Italy (2505)3. However, as the pandemic is still unfortunately under progression, there are limited data with regard to the clinical characteristics of the patients as well as to their prognostic factors4. Smoking, to date, has been assumed to be possibly associated with adverse disease prognosis, as extensive evidence has highlighted the negative impact of tobacco use on lung health and its causal association with a plethora of respiratory diseases5. Smoking is also detrimental to the immune system and its responsiveness to infections, making smokers more vulnerable to infectious diseases6. Previous studies have shown that smokers are twice more likely than non-smokers to contract influenza and have more severe symptoms, while smokers were also noted to have higher mortality in the previous MERS- CoV outbreak7,8. Given the gap in the evidence, we conducted a systematic review of studies on COVID-19 that included information on patients’ smoking status to evaluate the association between smoking and COVID-19 outcomes including the severity of the disease, the need for mechanical ventilation, the need for intensive care unit (ICU) hospitalization and death. The literature search was conducted on 17 March 2020, using two databases (PubMed, ScienceDirect), with the search terms: [‘smoking’ OR ‘tobacco’ OR ‘risk factors’ OR ‘smoker*’] AND [‘COVID-19’ OR ‘COVID 19’ OR ‘novel coronavirus’ OR ‘sars cov-2’ OR ‘sars cov 2’] and included studies published in 2019 and 2020. Further inclusion criteria were that the studies were in English and referred to humans. We also searched the reference lists of the studies included. A total of 71 studies were retrieved through the search, of which 66 were excluded after full-text screening, leaving five studies that were included. All of the studies were conducted in China, four in Wuhan and one across provinces in mainland China. The populations in all studies were patients with COVID-19, and the sample size ranged from 41 to 1099 patients. With regard to the study design, retrospective and prospective methods were used, and the timeframe of all five studies covered the first two months of the COVID-19 pandemic (December 2019, January 2020).",Systematic Review
"Abstract  Objectives: Our objective was to review the literature on the inferred duration of the infectious period of COVID-19, caused by SARS-COV-2 virus, and provide an overview of the variation depending on the methodological approach. Design: Rapid scoping review. Literature review with fixed search terms, up to 1st April 2020. Central tendency and variation of the parameter estimates for infectious period in (a) asymptomatic (b) symptomatic cases from (i) virological studies (repeated testing), (ii) tracing studies (iii) modelling studies were gathered. Narrative review of viral dynamics. Information sources: Search strategies developed and the following searched: PubMed, Google Scholar, MedRxiv, BioRxiv. Additionally, the Health Information Quality Authority (Ireland) viral load synthesis was utilised, which screened literature from PubMed, Embase, ScienceDirect, NHS evidence, Cochrane, medRxiv and bioRxiv, HRB open databases. Results: There was substantial variation in the estimates, and how infectious period was inferred. One study provided approximate median infectious period for asymptomatic cases of 6.5-9.5 days. Median pre-symptomatic infectious period across studies varied over <1-4 days. Estimated mean time from symptom onset to two negative RT-PCR tests was 13.4 days (95%CI: 10.9-15.8), but was shorter when studies included children or less severe cases. Estimated mean duration from symptom onset to hospital discharge or death (potential maximal infectious period) was 18.1 days (95%CI: 15.1-21.0); time to discharge was on average 4 days shorter than time-to-death. Viral dynamic data and model infectious parameters were often shorter than repeated diagnostic data. Conclusions: There are limitations of inferring infectiousness from repeated diagnosis, viral loads, and viral replication data alone, and also potential patient recall bias relevant to estimating exposure and symptom onset times. Despite this, available data provides a preliminary evidence base to inform models of central tendency for key parameters, and variation for exploring parameter space and sensitivity analysis. Some current models may be underestimating infectious period.  ",Critically-Appraised Topics
